品种,Index价格,运费(BCI-C5),典型值铁,典型值水,折扣,汇率,进口成本,销售价_平均,销售价_RZ,销售价_TJ,进口利润,进口利润_RZ,进口利润_TJ,数据状态
PB粉,98.73,17.98,60.8,8.8,0.0,6.7339,714.54,705.0,698.0,712.0,-9.54,-16.54,-2.54,正常
纽曼粉,98.73,17.98,61.2,8.3,-0.62,6.7339,716.84,711.5,708.0,715.0,-5.34,-8.84,-1.84,正常
麦克粉,98.73,17.98,60.5,8.5,-0.12,6.7339,712.8,703.5,698.0,709.0,-9.3,-14.8,-3.8,正常
金布巴粉,98.73,17.98,60.3,7.6,-4.05,6.7339,688.71,682.5,672.0,693.0,-6.21,-16.71,4.29,正常
罗伊山粉,98.73,17.98,60.7,9.0,0.0,6.7339,712.44,693.0,689.0,697.0,-19.44,-23.44,-15.44,正常
巴混BRBF,101.42,17.98,63.0,7.5,0.0,6.7339,755.37,759.5,756.0,763.0,4.13,0.63,7.63,正常
SP10粉,98.73,17.98,56.5,7.5,0.143,6.7339,609.24,,,,,,,缺少销售价格
混合粉,98.73,17.98,58.2,8.0,0.0675,6.7339,660.02,655.5,655.0,656.0,-4.52,-5.02,-4.02,正常
超特粉,98.73,17.98,56.5,9.5,0.21,6.7339,565.83,572.0,566.0,578.0,6.17,0.17,12.17,正常
IOC6粉,98.73,17.98,61.5,9.0,-5.6,6.7339,680.48,695.0,688.0,702.0,14.52,7.52,21.52,正常
印粉57,98.73,17.98,57.0,8.0,0.0,6.7339,549.15,531.5,537.0,526.0,-17.65,-12.15,-23.15,正常
印粉54,98.73,17.98,54.5,9.0,0.0,6.7339,656.71,,,,,,,缺少销售价格
卡粉,112.727,17.98,65.0,8.5,0.0,6.7339,814.86,852.5,850.0,855.0,37.64,35.14,40.14,正常
乌精68,98.73,17.98,68.0,9.0,0.0,6.7339,745.21,,,,,,,缺少销售价格
乌精65,112.727,17.98,65.0,9.0,-1.5,6.7339,800.19,869.5,867.0,872.0,69.31,66.81,71.81,正常
PB块,98.73,17.98,61.6,4.0,0.0,6.7339,864.13,899.0,893.0,905.0,34.87,28.87,40.87,正常
纽曼块,98.73,17.98,62.0,4.1,0.0,6.7339,879.3,907.0,900.0,914.0,27.7,20.7,34.7,正常
SP10块,98.73,17.98,58.7,4.2,0.045,6.7339,802.87,,,,,,,缺少销售价格
罗伊山块,98.73,17.98,60.5,4.8,0.028,6.7339,829.86,861.5,873.0,850.0,31.64,43.14,20.14,正常
