时间节点,计算日期,品种,Index价格,运费(BCI-C5),典型值铁,典型值水,折扣,汇率,PLATTS LP,进口成本,销售价_平均,销售价_RZ,销售价_TJ,进口利润,进口利润_RZ,进口利润_TJ,数据状态,销售价格
M-1,2026-08-01,纽曼粉,,14.90625,61.2,8.3,-1.13,6.755183870967742,0.2658999999999999,,,,,,,,数据缺失,
M-1,2026-08-01,麦克粉,,14.90625,60.5,8.5,-0.75,6.755183870967742,0.2658999999999999,,,,,,,,数据缺失,
M-1,2026-08-01,金布巴粉,,14.90625,60.3,7.6,-5.35,6.755183870967742,0.2658999999999999,,,,,,,,数据缺失,
M-1,2026-08-01,罗伊山粉,97.9365,14.9062,60.7,9.0,0.0,6.7552,0.2659,708.75,693.0,687.0,699.0,-15.75,-21.75,-9.75,正常,
M-1,2026-08-01,巴混BRBF,101.2315,14.9062,63.0,7.5,0.0,6.7552,0.2659,756.31,764.5,764.0,765.0,8.19,7.69,8.69,正常,
M-1,2026-08-01,SP10粉,97.9365,14.9062,56.5,7.5,0.152,6.7552,0.2659,597.07,,,,,,,缺少销售价格,
M-1,2026-08-01,混合粉,,14.90625,58.2,8.0,0.1075,6.755183870967742,0.2658999999999999,,,,,,,,数据缺失,
M-1,2026-08-01,超特粉,,14.90625,56.5,9.5,0.21,6.755183870967742,0.2658999999999999,,,,,,,,数据缺失,
M-1,2026-08-01,IOC6粉,,14.90625,61.5,9.0,-5.680952380952379,6.755183870967742,0.2658999999999999,,,,,,,,数据缺失,
M-1,2026-08-01,印粉57,,14.90625,57.0,8.0,0.0,6.755183870967742,0.2658999999999999,,,,,,,,数据缺失,
M-1,2026-08-01,印粉54,,14.90625,54.5,9.0,0.0,6.755183870967742,0.2658999999999999,,,,,,,,数据缺失,
M-1,2026-08-01,卡粉,112.324,14.9062,65.0,8.5,0.0,6.7552,0.2659,814.53,858.5,848.0,869.0,43.97,33.47,54.47,正常,
M-1,2026-08-01,乌精68,112.324,14.9062,68.0,9.0,0.0,6.7552,0.2659,846.25,,,,,,,缺少销售价格,
M-1,2026-08-01,乌精65,112.324,14.9062,65.0,9.0,-1.5,6.7552,0.2659,799.82,874.0,869.0,879.0,74.18,69.18,79.18,正常,
M-1,2026-08-01,PB块,97.9365,14.9062,61.6,4.0,0.0,6.7552,0.2659,865.57,899.0,894.0,904.0,33.43,28.43,38.43,正常,
M-1,2026-08-01,纽曼块,,14.90625,62.0,4.1,0.0,6.755183870967742,0.2658999999999999,,,,,,,,数据缺失,
M-1,2026-08-01,SP10块,97.9365,14.9062,58.7,4.2,0.051,6.7552,0.2659,797.94,,,,,,,缺少销售价格,
M-1,2026-08-01,罗伊山块,97.9365,14.9062,60.5,4.8,0.028,6.7552,0.2659,830.01,863.5,874.0,853.0,33.49,43.99,22.99,正常,
Last_Index_Day,2026-09-09,PB粉,102.63,18.52,60.8,8.8,0.0,6.7253,0.2514,740.66,705.0,696.0,714.0,-35.66,-44.66,-26.66,正常,
Last_Index_Day,2026-09-09,纽曼粉,97.55,18.52,61.2,8.3,-0.62,6.7253,0.2514,707.72,710.5,706.0,715.0,2.78,-1.72,7.28,正常,
Last_Index_Day,2026-09-09,麦克粉,97.55,18.52,60.5,8.5,-0.12,6.7253,0.2514,703.84,706.5,699.0,714.0,2.66,-4.84,10.16,正常,
Last_Index_Day,2026-09-09,金布巴粉,97.4952,18.52,60.3,7.6,-4.05,6.7253,0.2514,679.33,685.0,673.0,697.0,5.67,-6.33,17.67,正常,
Last_Index_Day,2026-09-09,罗伊山粉,102.63,18.52,60.7,9.0,0.0,6.7253,0.2514,738.47,693.0,687.0,699.0,-45.47,-51.47,-39.47,正常,
Last_Index_Day,2026-09-09,巴混BRBF,105.13,18.52,63.0,7.5,0.0,6.7253,0.2514,780.94,764.5,764.0,765.0,-16.44,-16.94,-15.94,正常,
Last_Index_Day,2026-09-09,SP10粉,102.63,18.52,56.5,7.5,0.143,6.7253,0.2514,631.09,,,,,,,缺少销售价格,
Last_Index_Day,2026-09-09,混合粉,97.55,18.52,58.2,8.0,0.0675,6.7253,0.2514,652.33,658.0,656.0,660.0,5.67,3.67,7.67,正常,
Last_Index_Day,2026-09-09,超特粉,97.55,18.52,56.5,9.5,0.21,6.7253,0.2514,560.36,572.0,564.0,580.0,11.64,3.64,19.64,正常,
Last_Index_Day,2026-09-09,IOC6粉,99.36,18.52,61.5,9.0,-5.6,6.7253,0.2514,684.04,696.0,688.0,704.0,11.96,3.96,19.96,正常,
Last_Index_Day,2026-09-09,印粉57,99.36,18.52,57.0,8.0,0.0,6.7253,0.2514,559.96,531.5,535.0,528.0,-28.46,-24.96,-31.96,正常,
Last_Index_Day,2026-09-09,印粉54,99.36,18.52,54.5,9.0,0.0,6.7253,0.2514,660.28,,,,,,,缺少销售价格,
Last_Index_Day,2026-09-09,卡粉,115.61,18.52,65.0,8.5,0.0,6.7253,0.2514,833.91,858.5,848.0,869.0,24.59,14.09,35.09,正常,
Last_Index_Day,2026-09-09,乌精68,115.61,18.52,68.0,9.0,0.0,6.7253,0.2514,866.42,,,,,,,缺少销售价格,
Last_Index_Day,2026-09-09,乌精65,115.61,18.52,65.0,9.0,-1.5,6.7253,0.2514,819.14,874.0,869.0,879.0,54.86,49.86,59.86,正常,
Last_Index_Day,2026-09-09,PB块,102.63,18.52,61.6,4.0,0.0,6.7253,0.2514,888.47,899.0,894.0,904.0,10.53,5.53,15.53,正常,
Last_Index_Day,2026-09-09,纽曼块,99.36,18.52,62.0,4.1,0.0,6.7253,0.2514,879.76,908.0,901.0,915.0,28.24,21.24,35.24,正常,
Last_Index_Day,2026-09-09,SP10块,102.63,18.52,58.7,4.2,0.045,6.7253,0.2514,825.33,,,,,,,缺少销售价格,
Last_Index_Day,2026-09-09,罗伊山块,102.63,18.52,60.5,4.8,0.028,6.7253,0.2514,853.12,863.5,874.0,853.0,10.38,20.88,-0.12,正常,
M,2026-09-01,PB粉,99.36,17.4608,60.8,8.8,0.0,6.7317,0.2514,718.63,705.0,696.0,714.0,-13.63,-22.63,-4.63,正常,
M,2026-09-01,纽曼粉,99.36,17.4608,61.2,8.3,-0.62,6.7317,0.2514,721.03,710.5,706.0,715.0,-10.53,-15.03,-6.03,正常,
M,2026-09-01,麦克粉,99.36,17.4608,60.5,8.5,-0.12,6.7317,0.2514,716.87,706.5,699.0,714.0,-10.37,-17.87,-2.87,正常,
M,2026-09-01,金布巴粉,99.36,17.4608,60.3,7.6,-4.05,6.7317,0.2514,692.85,685.0,673.0,697.0,-7.85,-19.85,4.15,正常,
M,2026-09-01,罗伊山粉,99.36,17.4608,60.7,9.0,0.0,6.7317,0.2514,716.5,693.0,687.0,699.0,-23.5,-29.5,-17.5,正常,
M,2026-09-01,巴混BRBF,101.979,17.4608,63.0,7.5,0.0,6.7317,0.2514,759.13,764.5,764.0,765.0,5.37,4.87,5.87,正常,
M,2026-09-01,SP10粉,99.36,17.4608,56.5,7.5,0.143,6.7317,0.2514,611.77,,,,,,,缺少销售价格,
M,2026-09-01,混合粉,99.36,17.4608,58.2,8.0,0.0675,6.7317,0.2514,663.3,658.0,656.0,660.0,-5.3,-7.3,-3.3,正常,
M,2026-09-01,超特粉,99.36,17.4608,56.5,9.5,0.21,6.7317,0.2514,567.73,572.0,564.0,580.0,4.27,-3.73,12.27,正常,
M,2026-09-01,IOC6粉,99.36,17.4608,61.5,9.0,-5.6,6.7317,0.2514,684.67,696.0,688.0,704.0,11.33,3.33,19.33,正常,
M,2026-09-01,印粉57,99.36,17.4608,57.0,8.0,0.0,6.7317,0.2514,688.46,531.5,535.0,528.0,-156.96,-153.46,-160.46,正常,
M,2026-09-01,印粉54,99.36,17.4608,54.5,9.0,0.0,6.7317,0.2514,659.95,,,,,,,缺少销售价格,
M,2026-09-01,卡粉,112.994,17.4608,65.0,8.5,0.0,6.7317,0.2514,816.47,858.5,848.0,869.0,42.03,31.53,52.53,正常,
M,2026-09-01,乌精68,99.36,17.4608,68.0,9.0,0.0,6.7317,0.2514,749.54,,,,,,,缺少销售价格,
M,2026-09-01,乌精65,112.994,17.4608,65.0,9.0,-1.5,6.7317,0.2514,801.79,874.0,869.0,879.0,72.21,67.21,77.21,正常,
M,2026-09-01,PB块,99.36,17.4608,61.6,4.0,0.0,6.7317,0.2514,865.61,899.0,894.0,904.0,33.39,28.39,38.39,正常,
M,2026-09-01,纽曼块,99.36,17.4608,62.0,4.1,0.0,6.7317,0.2514,880.57,908.0,901.0,915.0,27.43,20.43,34.43,正常,
M,2026-09-01,SP10块,99.36,17.4608,58.7,4.2,0.045,6.7317,0.2514,803.85,,,,,,,缺少销售价格,
M,2026-09-01,罗伊山块,99.36,17.4608,60.5,4.8,0.028,6.7317,0.2514,831.05,863.5,874.0,853.0,32.45,42.95,21.95,正常,
M+1,2026-10-01,PB粉,99.46,18.52,60.8,8.8,0.0,6.7253,0.2514,718.76,705.0,696.0,714.0,-13.76,-22.76,-4.76,正常,
M+1,2026-10-01,纽曼粉,99.46,18.52,61.2,8.3,-0.62,6.7253,0.2514,721.07,710.5,706.0,715.0,-10.57,-15.07,-6.07,正常,
M+1,2026-10-01,麦克粉,99.46,18.52,60.5,8.5,-0.12,6.7253,0.2514,717.02,706.5,699.0,714.0,-10.52,-18.02,-3.02,正常,
M+1,2026-10-01,金布巴粉,99.46,18.52,60.3,7.6,-4.05,6.7253,0.2514,692.97,685.0,673.0,697.0,-7.97,-19.97,4.03,正常,
M+1,2026-10-01,罗伊山粉,99.46,18.52,60.7,9.0,0.0,6.7253,0.2514,716.66,693.0,687.0,699.0,-23.66,-29.66,-17.66,正常,
M+1,2026-10-01,巴混BRBF,102.079,18.52,63.0,7.5,0.0,6.7253,0.2514,759.15,764.5,764.0,765.0,5.35,4.85,5.85,正常,
M+1,2026-10-01,SP10粉,99.46,18.52,56.5,7.5,0.143,6.7253,0.2514,613.4,,,,,,,缺少销售价格,
M+1,2026-10-01,混合粉,99.46,18.52,58.2,8.0,0.0675,6.7253,0.2514,664.21,658.0,656.0,660.0,-6.21,-8.21,-4.21,正常,
M+1,2026-10-01,超特粉,99.46,18.52,56.5,9.5,0.21,6.7253,0.2514,569.97,572.0,564.0,580.0,2.03,-5.97,10.03,正常,
M+1,2026-10-01,IOC6粉,99.46,18.52,61.5,9.0,-5.6,6.7253,0.2514,684.74,696.0,688.0,704.0,11.26,3.26,19.26,正常,
M+1,2026-10-01,印粉57,99.46,18.52,57.0,8.0,0.0,6.7253,0.2514,689.02,531.5,535.0,528.0,-157.52,-154.02,-161.02,正常,
M+1,2026-10-01,印粉54,99.46,18.52,54.5,9.0,0.0,6.7253,0.2514,660.9,,,,,,,缺少销售价格,
M+1,2026-10-01,卡粉,113.094,18.52,65.0,8.5,0.0,6.7253,0.2514,816.41,858.5,848.0,869.0,42.09,31.59,52.59,正常,
M+1,2026-10-01,乌精68,99.46,18.52,68.0,9.0,0.0,6.7253,0.2514,749.57,,,,,,,缺少销售价格,
M+1,2026-10-01,乌精65,113.094,18.52,65.0,9.0,-1.5,6.7253,0.2514,801.74,874.0,869.0,879.0,72.26,67.26,77.26,正常,
M+1,2026-10-01,PB块,99.46,18.52,61.6,4.0,0.0,6.7253,0.2514,865.12,899.0,894.0,904.0,33.88,28.88,38.88,正常,
M+1,2026-10-01,纽曼块,99.46,18.52,62.0,4.1,0.0,6.7253,0.2514,880.5,908.0,901.0,915.0,27.5,20.5,34.5,正常,
