时间点,计算目标日期,实际取数日期,品种,Index价格,运费(BCI-C5),典型值铁,典型值水,折扣,汇率,进口成本
M+3,2026-09-01,SGX_2026-09,MB粉,104.18,,58.0,9.0,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,巴混BRBF,104.18,,63.0,7.5,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,高硅巴粗,104.18,,59.5,9.5,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,SP10粉,104.18,,56.5,7.5,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,混合粉,104.18,,58.2,8.0,0.0925,6.781,
M+3,2026-09-01,SGX_2026-09,超特粉,104.18,,56.5,9.5,0.1825,6.781,
M+3,2026-09-01,SGX_2026-09,PMI粉,104.18,,56.5,10.0,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,毛塔粉,104.18,,56.5,7.5,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,IOC6粉,104.18,,61.5,9.0,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,Musa粉,104.18,,62.0,9.0,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,SIOF托克粉,104.18,,60.98,9.5,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,永钢粉,104.18,,65.0,1.0,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,西皮粉,104.18,,60.3,6.0,0.01,6.781,
M+3,2026-09-01,SGX_2026-09,国王粉,104.18,,57.5,9.0,0.0175,6.781,
M+3,2026-09-01,SGX_2026-09,卡拉拉精粉低品,104.18,,62.0,8.0,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,印粉57,104.18,,57.0,8.0,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,印粉54,104.18,,54.5,9.0,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,丝路粉,104.18,,58.2,8.0,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,安米利比里亚粉,104.18,,60.5,10.5,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,卡粉,104.18,,65.0,8.5,0.0,6.781,760.4283734909999
M+3,2026-09-01,SGX_2026-09,乌精68,104.18,,68.0,9.0,0.0,6.781,789.9648213807999
M+3,2026-09-01,SGX_2026-09,乌精65,104.18,,65.0,9.0,0.0,6.781,756.4369616139999
M+3,2026-09-01,SGX_2026-09,飞砳乌精67,104.18,,67.0,9.8,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,一钢精粉,104.18,,65.5,8.5,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,VALE PFPA,104.18,,66.59,9.5,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,VALE PFG2,104.18,,64.97,10.1,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,VALE PFIT,104.18,,63.0,8.5,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,智利Huasco,104.18,,68.8,2.25,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,毛塔精粉,104.18,,66.0,1.5,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,Minas精粉,104.18,,67.4,9.21,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,魏桥西芒杜,104.18,,65.02,8.0,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,委粉,104.18,,65.11,7.65,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,PB块,104.18,,61.6,4.0,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,纽曼块,104.18,,62.0,4.1,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,SP10块,104.18,,58.7,4.2,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,纽曼未筛分块,104.18,,61.7,4.3,0.0,6.781,
M+3,2026-09-01,SGX_2026-09,罗伊山块,104.18,,60.5,4.8,0.028,6.781,
M+3,2026-09-01,SGX_2026-09,MB块,104.18,,58.0,4.8,1.4,6.781,
M+3,2026-09-01,SGX_2026-09,FMG块,104.18,,57.2,6.5,0.0275,6.781,
