品种,Index价格,运费(BCI-C5),典型值铁,典型值水,折扣,汇率,进口成本,销售价_平均,销售价_RZ,销售价_TJ,进口利润,进口利润_RZ,进口利润_TJ,数据状态
PB粉,99.8548,12.4272,60.8,8.8,0.0,6.7937,727.97,684.0,680.0,688.0,-43.97,-47.97,-39.97,正常
纽曼粉,97.587,12.4272,61.2,8.3,-1.33,6.7937,709.87,689.0,690.0,688.0,-20.87,-19.87,-21.87,正常
麦克粉,97.587,12.4272,60.5,8.5,-1.33,6.7937,701.82,688.5,685.0,692.0,-13.32,-16.82,-9.82,正常
金布巴粉,96.5701,12.4272,60.3,7.6,-5.98,6.7937,665.42,664.5,656.0,673.0,-0.92,-9.42,7.58,正常
罗伊山粉,99.8548,12.4272,60.7,9.0,0.0,6.7937,725.66,672.0,671.0,673.0,-53.66,-54.66,-52.66,正常
巴混BRBF,104.1643,12.4272,63.0,7.5,0.0,6.7937,781.62,757.0,751.0,763.0,-24.62,-30.62,-18.62,正常
SP10粉,99.8548,12.4272,56.5,7.5,0.177,6.7937,592.81,,,,,,,缺少销售价格
混合粉,97.587,12.4272,58.2,8.0,0.1025,6.7937,633.9,634.0,632.0,636.0,0.1,-1.9,2.1,正常
超特粉,97.587,12.4272,56.5,9.5,0.18,6.7937,569.07,551.0,548.0,554.0,-18.07,-21.07,-15.07,正常
IOC6粉,100.8413,12.4272,61.5,9.0,-6.504348,6.7937,694.81,674.0,670.0,678.0,-20.81,-24.81,-16.81,正常
印粉57,100.8413,12.4272,57.0,8.0,0.0,6.7937,522.63,510.5,519.0,502.0,-12.13,-3.63,-20.63,正常
印粉54,100.8413,12.4272,54.5,9.0,0.0,6.7937,670.5,,,,,,,缺少销售价格
卡粉,114.2691,12.4272,65.0,8.5,0.0,6.7937,832.67,838.0,835.0,841.0,5.33,2.33,8.33,正常
乌精68,114.2691,12.4272,68.0,9.0,0.0,6.7937,865.13,,,,,,,缺少销售价格
乌精65,114.2691,12.4272,65.0,9.0,-2.765217,6.7937,808.97,851.5,857.0,846.0,42.53,48.03,37.03,正常
PB块,99.8548,12.4272,61.6,4.0,0.0,6.7937,864.35,885.5,877.0,894.0,21.15,12.65,29.65,正常
纽曼块,100.348,12.4272,62.0,4.1,0.0,6.7937,880.96,894.0,877.0,911.0,13.04,-3.96,30.04,正常
SP10块,99.8548,12.4272,58.7,4.2,0.0555,6.7937,791.88,,,,,,,缺少销售价格
罗伊山块,99.8548,12.4272,60.5,4.8,0.028,6.7937,827.89,848.0,857.0,839.0,20.11,29.11,11.11,正常
