品种,Index价格,运费(BCI-C5),典型值铁,典型值水,折扣,汇率,进口成本,销售价_平均,销售价_RZ,销售价_TJ,进口利润,进口利润_RZ,进口利润_TJ,数据状态
PB粉,106.8805,12.7664,60.8,8.8,0.0,6.8561,783.88,705.5,698.0,713.0,-78.38,-85.88,-70.88,正常
纽曼粉,106.7617,12.7664,61.2,8.3,-4.38,6.8561,759.84,707.0,696.0,718.0,-52.84,-63.84,-41.84,正常
麦克粉,106.7617,12.7664,60.5,8.5,-3.01,6.8561,760.62,705.5,698.0,713.0,-55.12,-62.62,-47.62,正常
金布巴粉,105.8862,12.7664,60.3,7.6,-6.42,6.8561,734.05,687.0,667.0,707.0,-47.05,-67.05,-27.05,正常
罗伊山粉,106.8805,12.7664,60.7,9.0,0.0,6.8561,781.37,693.5,689.0,698.0,-87.87,-92.37,-83.37,正常
巴混BRBF,111.4281,12.7664,63.0,7.5,0.0,6.8561,841.41,764.5,775.0,754.0,-76.91,-66.41,-87.41,正常
SP10粉,106.8805,12.7664,56.5,7.5,0.086,6.8561,693.14,608.5,601.0,616.0,-84.64,-92.14,-77.14,正常
混合粉,106.7617,12.7664,58.2,8.0,0.0625,6.8561,721.08,648.5,646.0,651.0,-72.58,-75.08,-70.08,正常
超特粉,106.7617,12.7664,56.5,9.5,0.103,6.8561,669.98,583.5,578.0,589.0,-86.48,-91.98,-80.98,正常
IOC6粉,107.1833,12.7664,61.5,9.0,-4.25,6.8561,761.88,693.0,690.0,696.0,-68.88,-71.88,-65.88,正常
印粉57,107.1833,12.7664,57.0,8.0,0.0,6.8561,607.69,527.5,518.0,537.0,-80.19,-89.69,-70.69,正常
印粉54,107.1833,12.7664,54.5,9.0,0.0,6.8561,716.63,,,,,,,缺少销售价格
卡粉,124.8162,12.7664,65.0,8.5,0.0,6.8561,914.8,863.5,854.0,873.0,-51.3,-60.8,-41.8,正常
乌精68,124.8162,12.7664,68.0,9.0,0.0,6.8561,950.58,,,,,,,缺少销售价格
乌精65,124.8162,12.7664,65.0,9.0,-3.5,6.8561,885.29,813.0,800.0,826.0,-72.29,-85.29,-59.29,正常
PB块,106.8805,12.7664,61.6,4.0,0.0,6.8561,901.51,882.0,875.0,889.0,-19.51,-26.51,-12.51,正常
纽曼块,107.0319,12.7664,62.0,4.1,0.0,6.8561,916.0,875.5,870.0,881.0,-40.5,-46.0,-35.0,正常
SP10块,106.8805,12.7664,58.7,4.2,0.0615,6.8561,821.22,,,,,,,缺少销售价格
罗伊山块,106.8805,12.7664,60.5,4.8,0.028,6.8561,863.29,844.0,855.0,833.0,-19.29,-8.29,-30.29,正常
